Nation,Political Science and International Relations,Sociology and Political Science,Development,"Economics, Econometrics and Finance","Business, Management and Accounting",Environmental Science,Transportation,Social Sciences (Misc.),Communication,Agricultural and Biological Sciences,Arts and Humanities,Computer Science,Decision Sciences,Demography,Earth and Planetary Sciences,Education,Energy,Engineering,Law,Mathematics,Medicine,Multidisciplinary,Safety Research,Urban Studies,Cultural Sciences
Zimbabwe / Cameroon / Djibouti,,,1,,,,,,,,,,,,,,,,,,,,,,
Djibouti,1,,,,,,,,,,,,,,,,,,,,,,,,
Kenya / Djibouti / Ethiopia,,1,1,,,,,,,,,,,,,,,,,,,,,,
Kenya / Djibouti / Ethiopia,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Tanzania / Ethiopia / Kenya,,1,,,,,,,,,,,,,,,,,,,,,,,
Tanzania / Malawi,,,,,,,,,,,,,,,,,,,,,1,,,,
Ethiopia,,,1,,,,,,,,,,,,,,,,,,,,,,
Ghana / Zambia,1,,1,,,,,,,,,,,,,,,,,,,,,,
Algeria / Ghana,1,1,,,,,,,,,,,,,,,,,,,,,,,
Kenya,1,,1,,,,,,,,,,,,,,,,,,,,,,
Ghana,,1,1,,,,,,,,,,,,,,,,,,,,,,
Kenya,,1,1,,,,,,,,,,,,,,,,,,,,,,
Egypt,1,,,,,,,,,,,,,,,,,,,,,,,,
Ethopia / Djibouti,,1,1,,,,,,,,,,,,,,,,,,,,,,
Djibouti,1,,1,,,,,,,,,,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,1,,,,,,,,
Botswana / Ghana / Kenya / Madagascar / Namibia / Tanzania / South Africa / Zimbabwe,1,,1,,,,,,,,,,,,,,,,,,,,,,
Kenya,,,1,1,,,,,,,,,,,,,,,,,,,,,
Seychelles,,1,1,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,1,,,,,,,,,,,,,,,,,,,,
Pakistan / Kazakhstan / Kyrgyzstan / Tajikistan / Uzbekistan / Turkmenistan,,,1,1,,,,,,,,,,,,,,,,,,,,,
Kazakhstan / Kyrgyzstan / Tajikistan / Uzbekistan / Turkmenistan,,,1,1,,,,,,,,,,,,,,,,,,,,,
Kazakhstan / Kyrgyzstan / Tajikistan / Uzbekistan / Turkmenistan,,,1,,1,,,,,,,,,,,,,,,,,,,,
Iran,1,,,,,,,,,,,,,,,,,,,,,,,,
Iran,1,,,,,,,,,,,,,,,,,,,,,,,,
Israel,1,,1,,,,,,,,,,,,,,,,,,,,,,
Russia / Kazakhstan / Kyrgyzstan / Tajikistan / Uzbekistan / Turkmenistan,,1,1,,,,,,,,,,,,,,,,,,,,,,
Bahrain / Kuwait / Oman / Qatar / Saudi Arabia / United Arab Emirates,1,,1,,,,,,,,,,,,,,,,,,,,,,
Iran,,,1,1,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,1,1,,,,,,,,,,,,,,,,,,,,,
Kazakhstan / Kyrgyzstan / Tajikistan,,1,,,,,,,,,,,,,,,,,,,,,,,
Russia / Kazakhstan / Kyrgyzstan / Tajikistan / Uzbekistan / Turkmenistan,,1,1,,,,,,,,,,,,,,,,,,,,,,
Pakistan / Tajikistan,,1,1,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,,1,,,,,,,,,,,,,,,,,,,,,,,
Pakistan / Afghanistan / Uzbekistan / Tajikistan / Kyrgyzstan,1,,1,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan / Uzbekistan / Kyrgyzstan,,,1,1,,,,,,,,,,,,,,,,,,,,,
Kazakhstan / Kyrgyzstan / Tajikistan / Turkmenistan / Uzbekistan,,,1,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,1,,,1,,,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,1,,,,,,
Kazakhstan,1,,1,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan / Kyrgyzstan / Tajikistan / Uzbekistan / Turkmenistan,1,,1,,,,,,,,,,,,,,,,,,,,,,
Iran,1,,1,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan / Kyrgyzstan / Tajikistan / Uzbekistan / Turkmenistan,,,1,,,1,,,,1,,,,,,,,,,,,,,,
Kazakhstan,,,1,,,1,,,,,,,,,,,,,,,,,,,
Kazakhstan / Kyrgyzstan / Pakistan,,1,1,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan / Kyrgyzstan / Tajikistan / Uzbekistan / Turkmenistan,,,,,1,,1,,,,,,,,,,,,,,,,,,
Kazakhstan / Turkmenistan / Russia,,1,1,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan / Kyrgyzstan / Tajikistan / Uzbekistan / Turkmenistan,,,,,,1,,,,,,,,,,,,,,,,,,,
Kazakhstan / Kyrgyzstan / Tajikistan / Uzbekistan / Turkmenistan,,,,,,1,,,,,,,,,,,,,,,,,,,
Iran,,,,1,,,,,,,,,,,,,,,,,,,,,
China,,,1,,,1,,,,,,,,,,,,,,,,,,,
China,,,,1,,,,,,,,,,,,,,,,,,,,,
China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,1,,1,,,,,,,,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,,,1,,,,,,,,
China,,,,1,,,,,,,,,,,,,,,1,,,,,,
China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,1,,,,,,,,,,
China,1,,1,,,,,,,,,,,,,,,,,,,,,,
China,,1,1,1,,,,,,,,,,,,,,,,,,,,,
China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,1,,,,,,,,,,,,,,,,,,,,,,,,
China,,,,1,,,,,,,,,,,,,1,,,,,,,,
China,1,,,,,,,,,,,,,,,,,,,,,,,,
China,,1,1,1,,,,,,,,,,,,,,,,,,,,,
China,1,,,,,,,,,,,,,,,,,,,,,,,,
China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,1,,,,,,,,,,,,,,,,,,,,,,,,
China,,,,1,,,,,,,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,,,,,,,1,,,,
China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,,1,,,,,,,,,
China,,1,,1,,,,,,,,,,,,,,,,,,,,,
China,,,,,1,,,,,,,,,,,,,,,,,,,,
China,1,,,,,,,,,,,,,,,,,,,,,,,,
China,1,,,,,,,,,,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,,,1,,,,,,,,
China,,,,1,,,,,,,,,,,,,,,,,,,,,
China,,,1,,,1,,,,,,,,,,,,,,,,,,,
China,,,,1,,,,,,,,,,,,,,,,,,,,,
China,,,,,1,,,,,,,,,,,,,,,,,,,,
China,,,,1,,,,,,,,,,,,,,,,,,,,,
China,,,,1,,,,,,,,,,,,,,,,,,,,,
China,,1,,,,,,,,,,,,,,,,,,,,,,,
China,,,,,1,,1,,,,,,,,,,,,,,,,,,
China,,1,,1,,,,,,,,,,,,,,,,,,,,,
China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,,,,1,,,,,,,,,,,,,,,,,,,,,
China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,,,,,,,1,,,,,,,,,,,,,,,,,,
China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,,,,,,,1,,,,,,,,,,,,,,,,,,
China,,,,,1,,,,,,,,,,,,,,,,,,,,
China,,,1,1,,1,,,,,,,,,,,,,,,,,,,
China,,1,1,,,,,,,,,,,,,,,,,,,,,,
China,,,,1,,,,,,,,,,,,,,,,,,,,,
China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,,1,1,,,,,,,,,,,,,,,,,,,,,,
China,,,,1,,,,,,,,,,,,,,,,,,,,,
China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,1,,,,,,,,,,,,,,,,,,,,,,,,
China,1,,,,,,,,,,,,,,,,,,,,,,,,
China,,,,1,,,,,,,,,,,,,,,,,,,,,
China,,,1,,,,1,,,,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,,1,,,,,,,,,
China,,,,,1,,,,,,,,,,,,,,,,,,,,
China,,,,,,,1,,,,,,,,,,,,,,,,,,
China,1,,1,,,,,,,,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,,,1,,,,,,,,
China,,1,,,,,,,,,,,,,,,,,,,,,,,1
China,1,,,,,,,,,,,,,,,,,,,,,,,,
China,,,1,,,,,,,,,,,,,,,,,,,,,1,
China,,1,,,,,,,,,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,1,,,,,,,,,,
China,,,,,,1,,,,,,,1,,,,,,,,,,,,
China,1,,1,,,,,,,,,,,,,,,,,,,,,,
China,,1,1,,,,,,,,,,,,,,,,,,,,,,
China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,,,,1,1,,,,,,,,1,,,,,,,,,,,,
China,,1,,,,,,,,,,,,,,,,,,,,,,,
China,1,,,,,,,,,,,,,,,,,,,,,,,,
China,,,,,,,,,,1,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,,,,,1,,,,,,
China,,,,1,1,,,,,,,,,,,,,,,,,,,,
China,,,,1,1,,,,,,,,,,,,,,,,,,,,
China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,,,,1,,,,,,,,,,,,,,,,,,,,,
China,,1,1,,,,,,,,,,,,,,,,,,,,,,
China,,,,,,,,,,,,1,,,,,,,,,,,,,
China,,,,,,,1,,,,,,,,,,,,,,,,,,
China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,,,,1,,,,,,,,,,,,,,,,,,,,,
China,,1,1,,,,,,,,,,,,,,,,,,,,,,
China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,,,1,,,1,,,,,,,,,,,,,,,,,,,
China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,,,,1,1,,,,,,,,,,,,,,,,,,,,
China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,,,1,,,1,,,,,,,,,,,,,,,,,,,
China,1,,1,,,,,,,,,,,,,,,,,,,,,,
China,1,,1,,,,,,,,,,,,,,,,,,,,,,
China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,,,,1,1,,,,,,,,,,,,,,,,,,,,
China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,,,,,1,,,,,,
China,1,1,,,,,,,,,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,,,,,,,,1,,,
China,,,1,,,,1,,,,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,,,,,,,,1,,,
China,,,1,,,1,,,,,,,,,,,,,,,,,,,
China,,,1,,,,,,,,,,,,1,,,,,,,,,,
China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,,,1,,,1,,,,,,,,,,,,,,,,,,,
